14:25:01.149 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.149 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 4 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.149 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.149 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 5 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.149 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.150 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 6 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.150 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.150 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 7 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.150 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.150 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 8 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.150 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.150 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 9 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.150 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.150 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 10 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.150 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.150 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 11 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.150 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.150 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 12 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.150 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.150 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 13 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.150 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
